tdate,AEX,AS51,CAC,DAX,FTSE,HSI,IBEX,MIB,NKY,OMX,SG,SMI,SPX,TSX
2019-01-04,-0.054903259443811095,0.0563666352732803,0.0,0.047521271761835404,0.05660665134738203,-0.036065578823357626,0.0,0.04313481382260579,0.0,0.050665101552594995,0.0,0.052397917426950276,-0.03888438575634248,0.0
2019-01-07,-0.054903259443811095,0.0563666352732803,0.0,0.047521271761835404,0.05660665134738203,-0.036065578823357626,0.0,0.04313481382260579,0.0,0.050665101552594995,0.0,0.052397917426950276,-0.03888438575634248,0.0
2019-01-08,-0.054903259443811095,0.0563666352732803,0.0,0.047521271761835404,0.05660665134738203,-0.036065578823357626,0.0,0.04313481382260579,0.0,0.050665101552594995,0.0,0.052397917426950276,-0.03888438575634248,0.0
2019-01-09,-0.054903259443811095,0.0563666352732803,0.0,0.047521271761835404,0.05660665134738203,-0.036065578823357626,0.0,0.04313481382260579,0.0,0.050665101552594995,0.0,0.052397917426950276,-0.03888438575634248,0.0
2019-01-10,-0.0561819354015278,0.05767939269554395,0.0,0.0486280240438956,0.05792499865240544,-0.03690553238913381,0.0,0.044139407173424954,0.0,0.051845072430587766,0.0,0.05361824492529917,-0.039789988259743975,0.0
2019-01-11,-0.0561819354015278,0.05767939269554395,0.0,0.0486280240438956,0.05792499865240544,-0.03690553238913381,0.0,0.044139407173424954,0.0,0.051845072430587766,0.0,0.05361824492529917,-0.039789988259743975,0.0
2019-01-14,-0.0561819354015278,0.05767939269554395,0.0,0.0486280240438956,0.05792499865240544,-0.03690553238913381,0.0,0.044139407173424954,0.0,0.051845072430587766,0.0,0.05361824492529917,-0.039789988259743975,0.0
2019-01-15,-0.0561819354015278,0.05767939269554395,0.0,0.0486280240438956,0.05792499865240544,-0.03690553238913381,0.0,0.044139407173424954,0.0,0.051845072430587766,0.0,0.05361824492529917,-0.039789988259743975,0.0
2019-01-16,-0.0561819354015278,0.05767939269554395,0.0,0.0486280240438956,0.05792499865240544,-0.03690553238913381,0.0,0.044139407173424954,0.0,0.051845072430587766,0.0,0.05361824492529917,-0.039789988259743975,0.0
2019-01-17,-0.0561819354015278,0.05767939269554395,0.0,0.0486280240438956,0.05792499865240544,-0.03690553238913381,0.0,0.044139407173424954,0.0,0.051845072430587766,0.0,0.05361824492529917,-0.039789988259743975,0.0
