ticker,tdate,err,dps,dps1,fx,m2gdp,eps,eps1,roa,icr,growthvalue,ivol
MIB,2018-06-29,-87.0,31.773,30.627,104.4059,97.92305,65.419,6.656,1.0781174,2.0563211,1984.3702,19.25
MIB,2018-07-31,-130.0,31.743,30.549,105.1987,98.5091,65.465,6.733,1.0790671,2.0561266,1989.4753,15.03
MIB,2018-08-31,348.0,31.737,32.935,106.198,99.074036,65.192,6.789,1.0915527,2.1646369,1896.501,20.34
MIB,2018-09-28,87.0,32.105,32.994,105.8932,98.56652,66.443,7.367,1.0912646,2.1642256,1921.7767,20.55
MIB,2018-10-31,-136.0,31.727,32.577,104.8026,98.42207,66.521,7.647,1.0912188,2.1645339,1724.9513,23.71
MIB,2018-11-30,-227.0,31.871,32.763,104.2679,98.42819,66.869,6.666,1.1465626,2.4265718,1686.6826,20.94
MIB,2018-12-31,143.0,32.308,32.782,104.663,98.42184,67.6,6.378,1.1338025,2.398426,1561.2582,24.45
MIB,2019-01-31,-143.0,32.638,32.728,103.479,98.563866,67.073,6.745,1.1338961,2.3990443,1784.73,17.34
MIB,2019-02-28,95.0,34.032,32.767,103.1985,98.6129,66.419,6.091,1.052018,3.883639,1792.3966,16.25
MIB,2019-03-29,-48.0,33.609,33.458,102.7036,98.46703,66.902,7.632,1.0519818,3.883175,1843.8367,16.19
MIB,2019-04-30,-143.0,33.834,33.705,103.0488,98.636375,67.499,7.474,1.052671,3.8830702,1898.4768,14.63
MIB,2019-05-31,143.0,33.762,33.447,103.5766,98.91013,67.208,7.743,1.0503149,2.4771223,1776.0975,20.01
MIB,2019-06-28,-136.0,33.587,33.202,104.0442,99.42614,66.424,6.6,1.050276,2.4769776,1949.5295,15.64
NKY,1999-12-31,99.0,8.837,5.807,95.1034,,21.724,4.776,0.45576134,2.6481302,393.952,19.37
NKY,2000-01-31,38.0,8.95,5.815,91.1494,,22.286,4.261,0.44887778,2.648211,383.118,20.81
NKY,2000-02-29,103.0,8.944,5.806,89.4473,,23.581,4.642,0.46110842,2.654115,396.207,19.29
NKY,2000-03-31,-10.0,9.19,5.847,95.4266,,24.368,4.834,0.48974308,2.6637208,383.076,19.08
NKY,2000-04-28,0.0,9.361,5.826,92.0371,,24.611,5.203,0.49858516,2.6554828,358.851,26.52
NKY,2000-05-31,34.0,9.33,5.999,92.6289,,24.804,5.012,1.1557627,3.3476868,324.62,26.23
NKY,2000-06-30,76.0,8.258,5.978,93.4594,,25.412,5.161,1.1541784,3.3455772,342.551,20.83
NKY,2000-07-31,-25.0,8.091,5.978,91.2881,,25.539,4.905,1.154042,3.3470695,308.134,25.44
NKY,2000-08-31,7.0,7.932,6.007,94.4602,,26.262,4.677,1.1531538,3.3460433,329.624,21.28
NKY,2000-09-29,77.0,8.054,5.975,94.001,,27.23,4.563,1.243984,3.3747911,303.498,27.21
NKY,2000-10-31,83.0,7.737,6.191,94.6654,,27.998,4.532,1.2433326,3.3731468,273.613,23.74
NKY,2000-11-30,-18.0,6.721,6.304,93.2631,,28.798,4.851,1.2424337,3.3877532,268.083,21.91
NKY,2000-12-29,25.0,6.635,6.369,89.2596,,29.45,4.726,1.2433298,3.3913245,249.592,22.62
NKY,2001-01-31,54.0,6.905,6.403,87.6288,,30.36,4.898,1.2431626,3.390662,257.718,20.96
NKY,2001-02-28,65.0,7.961,6.401,87.5261,,30.894,5.076,1.2330894,3.500083,237.858,23.98
NKY,2001-03-30,-174.0,7.798,6.451,83.4055,,30.756,5.663,1.4916147,3.5099554,250.195,36.02
NKY,2001-04-30,-245.0,8.185,6.488,84.726,,32.613,5.993,1.2388194,3.4822571,258.336,26.12
NKY,2001-05-31,-244.0,8.078,6.586,88.7833,,31.893,5.963,1.5706125,4.3451486,249.513,25.35
NKY,2001-06-29,-305.0,8.392,6.58,84.8126,,30.657,6.59,1.571911,4.3457146,244.29,23.84
NKY,2001-07-31,-190.0,15.411,6.573,84.0155,,30.37,6.018,1.5720886,4.3458395,224.909,27.04
NKY,2001-08-31,-204.0,11.43,6.576,87.2387,,29.446,6.92,1.571129,4.3267727,201.617,31.82
NKY,2001-09-28,-431.0,10.565,6.395,87.5813,,27.09,7.462,1.585154,4.3557177,180.76,38.12
NKY,2001-10-31,-575.0,15.294,6.176,85.5328,,25.195,7.279,1.5873227,4.372584,190.619,33.89
NKY,2001-11-30,-543.0,3.377,6.23,84.9212,,23.724,8.464,1.6174319,4.344276,201.781,29.6
NKY,2001-12-31,-592.0,2.894,6.01,80.2316,,20.748,7.037,1.6983198,4.3473635,202.525,25.55
NKY,2002-01-31,-256.0,2.547,6.018,78.9111,,21.842,6.642,1.6977417,4.3448534,186.878,29.85
