,BOND,CANA,BUND,GILT,JGB
1998-04-30,5.6710 ,5.3840 ,4.9860 ,5.8280 ,1.7250 
1998-05-01,5.6560 ,5.3610 ,4.9810 ,5.7500 ,1.7010 
1998-05-04,5.6590 ,5.3750 ,4.9570 ,5.7780 ,1.7010 
1998-05-05,5.7120 ,5.4370 ,4.9860 ,5.8220 ,1.7010 
1998-05-06,5.6480 ,5.3650 ,4.9900 ,5.8300 ,1.6500 
1998-05-07,5.6780 ,5.3960 ,5.0090 ,5.8860 ,1.6250 
1998-05-08,5.7060 ,5.4260 ,4.9840 ,5.8610 ,1.5960 
1998-05-11,5.7670 ,5.4760 ,4.9910 ,5.8730 ,1.6100 
1998-05-12,5.7100 ,5.4280 ,5.0390 ,5.8970 ,1.5710 
1998-05-13,5.6670 ,5.4210 ,5.0100 ,5.9010 ,1.5700 
1998-05-14,5.6830 ,5.4440 ,4.9930 ,5.9250 ,1.5800 
1998-05-15,5.6830 ,5.4380 ,5.0110 ,5.9700 ,1.5500 
1998-05-18,5.6440 ,5.4390 ,4.9970 ,5.9490 ,1.5300 
1998-05-19,5.6520 ,5.3970 ,4.9830 ,5.9240 ,1.5410 
1998-05-20,5.6100 ,5.3610 ,4.9410 ,5.8870 ,1.5400 
1998-05-21,5.6500 ,5.3780 ,4.9420 ,5.8460 ,1.5550 
1998-05-22,5.6350 ,5.3900 ,4.9290 ,5.8210 ,1.5150 
1998-05-25,5.6370 ,5.3810 ,4.9220 ,5.8210 ,1.4750 
1998-05-26,5.5690 ,5.3620 ,4.8880 ,5.7600 ,1.4900 
1998-05-27,5.5770 ,5.3550 ,4.8910 ,5.7840 ,1.4950 
1998-05-28,5.5690 ,5.3400 ,4.9010 ,5.7710 ,1.4700 
1998-05-29,5.5520 ,5.3170 ,4.8650 ,5.7010 ,1.4560 
1998-06-01,5.5280 ,5.2900 ,4.8350 ,5.6610 ,1.4600 
1998-06-02,5.5500 ,5.3070 ,4.8510 ,5.6770 ,1.4300 
1998-06-03,5.5480 ,5.3000 ,4.8620 ,5.6960 ,1.4450 
1998-06-04,5.5870 ,5.3180 ,4.8670 ,5.7690 ,1.4400 
1998-06-05,5.5750 ,5.3160 ,4.8540 ,5.7640 ,1.4600 
1998-06-08,5.5690 ,5.3150 ,4.8490 ,5.7590 ,1.4400 
1998-06-09,5.5850 ,5.3300 ,4.8690 ,5.7670 ,1.4850 
1998-06-10,5.5090 ,5.3260 ,4.8150 ,5.6820 ,1.4800 
1998-06-11,5.4430 ,5.2990 ,4.7710 ,5.6130 ,1.5250 
1998-06-12,5.4270 ,5.3020 ,4.7720 ,5.6200 ,1.5150 
1998-06-15,5.3490 ,5.2560 ,4.7530 ,5.6160 ,1.4750 
1998-06-16,5.4430 ,5.2780 ,4.7810 ,5.7480 ,1.4900 
1998-06-17,5.5440 ,5.3260 ,4.8240 ,5.8660 ,1.5150 
1998-06-18,5.5000 ,5.3280 ,4.8040 ,5.8700 ,1.5750 
1998-06-19,5.4610 ,5.3340 ,4.8200 ,5.9310 ,1.5750 
1998-06-22,5.4670 ,5.3420 ,4.7730 ,5.8690 ,1.5800 
1998-06-23,5.4510 ,5.3460 ,4.7600 ,5.8480 ,1.5550 
1998-06-24,5.4650 ,5.3500 ,4.7480 ,5.8150 ,1.4950 
1998-06-25,5.4650 ,5.3550 ,4.7650 ,5.8430 ,1.5100 
1998-06-26,5.4480 ,5.3520 ,4.7590 ,5.8630 ,1.5350 
1998-06-29,5.4590 ,5.3620 ,4.7630 ,5.8750 ,1.5650 
1998-06-30,5.4460 ,5.3570 ,4.7790 ,5.8580 ,1.6150 
1998-07-01,5.4320 ,5.3510 ,4.7700 ,5.8370 ,1.6950 
1998-07-02,5.4090 ,5.2970 ,4.7390 ,5.8330 ,1.6050 
1998-07-03,5.4090 ,5.2970 ,4.7380 ,5.8440 ,1.6410 
1998-07-06,5.3890 ,5.2790 ,4.7050 ,5.7950 ,1.6050 
1998-07-07,5.4170 ,5.2350 ,4.7160 ,5.8390 ,1.6110 
1998-07-08,5.4300 ,5.2520 ,4.6910 ,5.8680 ,1.6700 
1998-07-09,5.4030 ,5.2640 ,4.6740 ,5.7690 ,1.6600 
