,BOND,CANA,BUND,GILT,JGB
42663,127.6719 ,141.0600 ,158.7400 ,121.1700 ,150.5500 
42664,127.7344 ,141.6100 ,158.6800 ,121.2600 ,150.4900 
42667,127.5625 ,141.3500 ,158.4200 ,121.1400 ,150.4300 
42668,127.5625 ,141.4500 ,158.4800 ,121.2600 ,150.5600 
42669,127.3281 ,141.3000 ,157.5400 ,120.4500 ,150.5500 
42670,126.9219 ,140.4200 ,156.5000 ,119.5600 ,150.4800 
42671,126.9531 ,140.4500 ,156.6100 ,119.4900 ,150.3200 
42674,127.0313 ,140.5700 ,156.6900 ,119.7400 ,150.3900 
42675,127.2031 ,140.6400 ,156.3800 ,119.3000 ,150.3900 
42676,127.4219 ,140.9100 ,157.0800 ,120.2800 ,150.4800 
42677,127.4219 ,140.6400 ,156.6300 ,120.0000 ,150.4800 
42678,127.6406 ,141.1900 ,157.0100 ,120.7300 ,150.5400 
42681,127.2344 ,140.4000 ,156.8100 ,120.2200 ,150.4600 
42682,126.9063 ,139.9600 ,156.4500 ,119.8500 ,150.4800 
42683,125.4688 ,138.8200 ,156.5400 ,119.8300 ,150.6200 
42684,125.0000 ,138.1400 ,155.2200 ,118.8300 ,150.2300 
42685,124.6250 ,138.1400 ,154.8600 ,118.6700 ,150.0000 
42688,124.1250 ,136.9900 ,154.5000 ,117.9600 ,149.8000 
42689,123.8906 ,137.0400 ,154.9900 ,118.5800 ,149.5100 
42690,123.9375 ,137.4000 ,154.9100 ,118.3300 ,149.1100 
42691,123.5469 ,137.0000 ,155.3400 ,118.4200 ,149.3900 
42692,123.0469 ,136.8400 ,155.3000 ,117.7700 ,148.9900 
42695,123.0313 ,136.6700 ,155.3600 ,118.2000 ,149.1200 
42696,123.1875 ,137.0400 ,155.9500 ,118.5600 ,149.1300 
42697,122.8438 ,136.7900 ,155.3300 ,117.8700 ,149.1300 
42698,122.8438 ,136.6400 ,155.5700 ,118.2200 ,149.1300 
42699,122.6875 ,136.8300 ,155.9100 ,118.4300 ,149.0600 
42702,123.0938 ,137.2700 ,156.5500 ,118.8400 ,149.2900 
42703,123.2188 ,137.3900 ,156.0500 ,118.7400 ,149.3200 
42704,122.6250 ,136.6900 ,155.6200 ,118.4500 ,149.2500 
42705,122.1094 ,135.6500 ,154.8500 ,117.7900 ,149.1900 
42706,122.5938 ,136.1600 ,155.5600 ,118.8600 ,149.1700 
42709,122.5938 ,136.2500 ,154.8500 ,118.6600 ,149.2900 
42710,122.5938 ,136.1000 ,154.3400 ,118.5300 ,149.0800 
42711,122.9219 ,136.4700 ,154.7600 ,119.0500 ,149.2600 
42712,122.6406 ,135.9800 ,154.1700 ,118.8900 ,149.2300 
42713,122.1563 ,135.2000 ,154.8800 ,118.2800 ,149.1900 
42716,122.1250 ,134.9200 ,154.1000 ,117.7600 ,149.0600 
42717,122.0469 ,134.8300 ,154.7300 ,118.3400 ,148.8300 
42718,121.5469 ,134.7100 ,155.4500 ,118.8600 ,148.9800 
42719,121.0625 ,134.2900 ,154.6100 ,117.6400 ,148.7300 
42720,120.9688 ,134.1900 ,155.1900 ,118.1500 ,148.5800 
42723,121.4063 ,134.4700 ,156.1100 ,118.6900 ,148.6100 
42724,121.2656 ,134.2800 ,156.0000 ,118.6000 ,148.7400 
42725,121.4375 ,134.3200 ,156.2300 ,119.1100 ,148.8200 
42726,121.4063 ,134.3300 ,156.1300 ,119.2500 ,148.8900 
42727,121.5000 ,134.5400 ,156.6000 ,119.6500 ,148.8900 
42730,121.5000 ,134.5400 ,156.6000 ,119.6500 ,148.8200 
42731,121.3438 ,134.5400 ,157.0700 ,119.6500 ,148.8200 
42732,121.7656 ,135.2400 ,156.9700 ,120.0700 ,148.9500 
42733,122.0625 ,135.2600 ,157.5000 ,120.8700 ,149.2600 
42734,122.4063 ,135.3600 ,157.0700 ,120.8300 ,149.2500 
42737,122.4063 ,135.3600 ,157.3700 ,120.8300 ,149.2500 
42738,122.2344 ,135.0400 ,156.1700 ,119.7600 ,149.2500 
42739,122.2344 ,135.3200 ,156.1500 ,119.8500 ,149.0500 
42740,122.9375 ,135.8300 ,156.4800 ,119.9900 ,149.1700 
42741,122.5313 ,135.3600 ,155.8100 ,119.3900 ,149.1700 
42744,122.8906 ,135.7000 ,155.9200 ,119.6400 ,149.1700 
