,BO,C,CL,CT,GC,HG,KC,NG,S,SB,SI,SM,W,XBW
1992-04-07,-0.006629348,-0.018129766,-0.010757983,-0.014752269,-0.0049735904,-0.0029211044,-0.027855158,-0.022813737,-0.012975752,0.08888888,-0.006569326,-0.003442347,-0.01419878,-0.018118799
1992-04-08,-0.0066734552,-0.016520917,0.019278407,-0.020020187,-0.0023522973,-0.020117223,0.02077365,0.015564203,-0.0065732,0.0020407438,0.0012245178,-0.008059859,0.005486965,0.006258011
1992-04-09,0.005167961,0.0019762516,-0.01503402,0.006866932,0.004715562,0.003986478,-0.024561405,0.0038313866,0.003087759,-0.009164989,0.0061154366,0.0034822226,-0.010914028,-0.015786946
1992-04-10,-0.003084898,0.0,0.0064008236,-0.0051151514,0.004693508,-0.008437574,-0.008633077,-0.012213647,0.0043975115,-0.017471671,-0.0012156963,0.005205393,-0.0041379333,-0.005346775
1992-04-13,0.0,0.0,-0.010763288,-0.020394146,-0.0055474043,-0.0055060983,-0.047169805,-0.018547177,0.0,0.0115062,-0.0036513805,0.0,0.0,-0.026551545
1992-04-14,0.0,0.0,-0.017804086,0.0,0.00058710575,0.0005033016,0.006854534,0.0047243834,0.0,-0.024819016,0.003664732,0.0,0.0,-0.0256024
1992-04-15,0.006704569,-0.0009862185,0.00050354004,-0.0031490326,-0.011150181,0.0016098022,-0.024205744,0.050156713,0.007880926,0.004241824,-0.02312553,0.00805521,0.0,0.019577503
1992-04-16,-0.0015369058,0.0009871721,0.017111182,0.00298357,0.0038574934,-0.006127596,-0.019379854,0.01567161,-0.00043439865,0.01267159,-0.009967625,-0.0017123222,0.0048476458,0.029981494
1992-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-04-20,-0.0020523071,0.00690341,0.0024534464,0.002624631,-0.0017734766,-0.0039417744,0.0076277256,0.034716964,0.007388115,-0.011470318,-0.0012585521,0.010291576,0.017229438,0.010302544
